QUESTIONARIO;PESQUISADOR;INICIO COLETA;FIM COLETA;P0001-REGIÃO;P0006-SEXO;P0007-FAIXA ETÁRIA;P0008-ESCOLARIDADE;P0009-DIA 28 TEREMOS ELEIÇÃO DE SEGUNDO TURNO PARA PRESIDENTE DO BRASIL E GOVERNADOR DE CAFUÇU. GOSTARIA DE SABER QUAL É O SEU INTERESSE PELAS ELEIÇÕES DESTE ANO? (ESTIMULADA RU);P0010-EM RELAÇÃO AO SEU VOTO PARA GOVERNADOR DE CAFUÇU, O (A) SR. (A) DIRIA QUE: (RU ESTIMULADA);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(A);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(B);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(C);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(D);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(E);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(F);P0012-(APENAS PARA QUEM ASSISTE/OUVE) QUAL DESSES CANDIDATOS A GOVERNADOR APRESENTOU AS MELHORES PROPOSTAS PARA CAFUÇU? (RU ESTIMULADA);P0013-SE AS ELEIÇÕES PARA GOVERNADOR DE CAFUÇU FOSSEM HOJE, EM QUAL DESTES CANDIDATOS O (A) SR. (A) VOTARIA? (ESTIMULADA RU);P0014-SOBRE A GESTÃO DO GOVERNADOR PESCOÇO GROSSO, COMO VOCÊ AVALIA A SUA ADMINISTRAÇÃO? (RU ESTIMULADA);P0015-E SOBRE A FORMA DE ADMINISTRAR DO GOVERNADOR PESCOÇO GROSSO, VOCÊ APROVA OU DESAPROVA? (RU ESTIMULADA);P0016-TAMBÉM AVALIANDO A GESTÃO DE PESCOÇO GROSSO, QUAL DAS SEGUINTES FRASES MELHOR REPRESENTA A SUA OPINIÃO SOBRE A GESTÃO DO GOVERNADOR? (RU ESTIMULADA);P0017-DIA 28 TEREMOS ELEIÇÃO PARA PRESIDENTE DO BRASIL, EM QUAL DESTES CANDIDATOS VOCÊ VOTARIA? (ESTIMULADA RU);P0018-(APENAS PARA BOLSONARO) SE JAIR BOLSONARO APOIAR FILHO DE PAPAI PARA GOVERNADOR DE CAFUÇU, VOCÊ VOTARIA EM FILHO DE PAPAI? (RU ESTIMULADA);P0019-EM QUAL DESTES CANDIDATOS A GOVERNADOR VOCÊ VOTOU NO PRIMEIRO TURNO? (RU ESTIMULADA);P0020-(APENAS PARA FILHO DE PAPAI) ESTÃO CONVICTOS DE REPETIR O VOTO EM FILHO DE PAPAI NO SEGUNDO TURNO? (RU ESTIMULADA);P0021-(APENAS PARA PESCOÇO GROSSO) ESTÃO CONVICTOS DE REPETIR O VOTO EM PESCOÇO GROSSO NO SEGUNDO TURNO? (RU ESTIMULADA);P0022-SE O SENADOR ELEITO FICHA LIMPA APOIAR FILHO DE PAPAI PARA GOVERNADOR DE CAFUÇU, VOCÊ VOTARIA EM FILHO DE PAPAI NESTE SEGUNDO TURNO? (RU ESTIMULADA)
1;T353957070094382;2018-10-15 07:52:23.0;2018-10-15 08:32:10.0;0003-LESTE;0002-MASCULINO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
2;T352925097985198;2018-10-15 08:38:22.0;2018-10-15 08:40:49.0;0003-LESTE;0002-MASCULINO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0005-NÃO RESPONDEU
3;T355969063098179;2018-10-15 07:56:24.0;2018-10-15 08:19:33.0;0003-LESTE;0002-MASCULINO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0009-NÃO RESPONDEU;;;;;;null-null;0005-NÃO RESPONDEU;0007-NÃO RESPONDEU;0004-NÃO RESPONDEU;0008-NÃO RESPONDEU;0001-JAIR BOLSONARO (PSL);0005-NÃO RESPONDEU;0006-NÃO RESPONDEU;null-null;null-null;0005-NÃO RESPONDEU
4;T352925097985198;2018-10-15 08:42:42.0;2018-10-15 08:45:17.0;0003-LESTE;0001-FEMININO;0005-45 A 59 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;0006-YOUTUBE;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0006-NÃO RESPONDEU;null-null;null-null;0005-NÃO RESPONDEU
5;T351829091268638;2018-10-15 08:32:23.0;2018-10-15 08:42:26.0;0001-SERTÃO;0002-MASCULINO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0003-NENHUM DELES;0003-NENHUM DELES;0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);0001-VOTARIA COM CERTEZA;0003-OUTRO;0001-SIM;null-null;0001-VOTARIA COM CERTEZA
6;T351829091268638;2018-10-15 08:49:32.0;2018-10-15 08:51:57.0;0001-SERTÃO;0001-FEMININO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0003-FACEBOOK;;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0003-OUTRO;null-null;null-null;0001-VOTARIA COM CERTEZA
7;T357110073297430;2018-10-15 08:02:25.0;2018-10-15 08:20:16.0;0003-LESTE;0002-MASCULINO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0003-FACEBOOK;;;;;;0002-PESCOÇO GROSSO (PSD);0004-NÃO SABE;0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0003-OUTRO;0002-NÃO;0001-SIM;0001-VOTARIA COM CERTEZA
8;T357110073297430;2018-10-15 08:26:04.0;2018-10-15 08:30:13.0;0003-LESTE;0002-MASCULINO;0003-25 A 34 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;;;0001-FILHO DE PAPAI (PSB);0003-NENHUM DELES;0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0002-TALVEZ VOTARIA;0003-OUTRO;null-null;null-null;0004-NÃO SABE
9;T351829091268638;2018-10-15 09:07:12.0;2018-10-15 09:10:52.0;0001-SERTÃO;0002-MASCULINO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0002-TELEVISÃO;0003-FACEBOOK;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0004-NENHUM DELES;null-null;null-null;0001-VOTARIA COM CERTEZA
10;T351829091268638;2018-10-15 09:13:21.0;2018-10-15 09:27:24.0;0001-SERTÃO;0001-FEMININO;0005-45 A 59 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0004-RUIM;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0001-FILHO DE PAPAI (PSB);0001-SIM;0001-SIM;0001-VOTARIA COM CERTEZA
